common_name
Ruff
Broad-billed Sandpiper
Sharp-tailed Sandpiper
Stilt Sandpiper
Curlew Sandpiper
Temminck's Stint
Long-toed Stint
Spoon-billed Sandpiper
Red-necked Stint
Sanderling
Dunlin
Rock Sandpiper
Purple Sandpiper
Baird's Sandpiper
Little Stint
Least Sandpiper
White-rumped Sandpiper
Buff-breasted Sandpiper
Pectoral Sandpiper
Semipalmated Sandpiper
Western Sandpiper
Short-billed Dowitcher
Long-billed Dowitcher
Jack Snipe
Eurasian Woodcock
American Woodcock
Solitary Snipe
Pin-tailed Snipe
Common Snipe
Wilson's Snipe
Terek Sandpiper
Common Sandpiper
Spotted Sandpiper
Green Sandpiper
Solitary Sandpiper
Gray-tailed Tattler
Wandering Tattler
Lesser Yellowlegs
Willet
Spotted Redshank
Common Greenshank
Greater Yellowlegs
Common Redshank
Wood Sandpiper
Marsh Sandpiper
Wilson's Phalarope
Red-necked Phalarope
Red Phalarope
Collared Pratincole
Oriental Pratincole
Great Skua
South Polar Skua
Pomarine Jaeger
Parasitic Jaeger
Long-tailed Jaeger
Dovekie
Common Murre
Thick-billed Murre
Razorbill
Great Auk
Black Guillemot
Pigeon Guillemot
Long-billed Murrelet
Marbled Murrelet
Kittlitz's Murrelet
Scripps's Murrelet
Guadalupe Murrelet
Craveri's Murrelet
Ancient Murrelet
Cassin's Auklet
Parakeet Auklet
Least Auklet
Whiskered Auklet
Crested Auklet
Rhinoceros Auklet
Atlantic Puffin
Horned Puffin
Tufted Puffin
Swallow-tailed Gull
Black-legged Kittiwake
Red-legged Kittiwake
Ivory Gull
Sabine's Gull
Bonaparte's Gull
Gray-hooded Gull
Black-headed Gull
Little Gull
Ross's Gull
Gray Gull
Laughing Gull
Franklin's Gull
Belcher's Gull
Black-tailed Gull
Heermann's Gull
Mew Gull
Ring-billed Gull
Western Gull
Yellow-footed Gull
California Gull
Herring Gull
Yellow-legged Gull
Iceland Gull
Lesser Black-backed Gull
Slaty-backed Gull
Glaucous-winged Gull
Glaucous Gull
Great Black-backed Gull
Kelp Gull
Brown Noddy
Black Noddy
Blue-gray Noddy
White Tern
Sooty Tern
Gray-backed Tern
Bridled Tern
Aleutian Tern
Little Tern
Least Tern
Yellow-billed Tern
Large-billed Tern
Gull-billed Tern
Caspian Tern
Inca Tern
Black Tern
White-winged Tern
Whiskered Tern
Roseate Tern
Common Tern
Arctic Tern
Forster's Tern
Royal Tern
Great Crested Tern
Sandwich Tern
Elegant Tern
Black Skimmer
Sunbittern
White-tailed Tropicbird
Red-billed Tropicbird
Red-tailed Tropicbird
Red-throated Loon
Arctic Loon
Pacific Loon
Common Loon
Yellow-billed Loon
Yellow-nosed Albatross
White-capped Albatross
Chatham Albatross
Salvin's Albatross
Black-browed Albatross
Light-mantled Albatross
Wandering Albatross
Laysan Albatross
Black-footed Albatross
Waved Albatross
Short-tailed Albatross
Wilson's Storm-Petrel
White-faced Storm-Petrel
